x,y,z
-3.1407,-1.67126,8.35127
-3.1407,-1.67126,8.35127
-3.1407,-1.67126,8.35127
-3.1407,-1.67126,8.35127
-1.36874,0.854319,7.13257
-1.36874,0.854319,7.13257
-2.16571,-2.14354,6.98432
-4.70763,-0.377523,7.55756
-2.13139,-1.41703,8.77928
-2.59761,0.584884,6.17291
0.351578,-0.937408,3.37395
2.44097,-0.485287,2.55721
0.995448,-1.55039,0.301585
-0.714631,-1.12469,2.25247
-2.26368,0.717139,3.49217
-2.26368,0.717139,3.49217
0.081024,-0.675024,1.47246
0.081024,-0.675024,1.47246
0.081024,-0.675024,1.47246
0.081024,-0.675024,1.47246
-0.515105,0.591581,1.72107
-0.515105,0.591581,1.72107
-0.515105,0.591581,1.72107
-0.515105,0.591581,1.72107
-3.36067,2.76136,3.54198
-2.3483,2.10566,3.66622
-2.3483,2.10566,3.66622
0.302296,0.03708,5.10346
0.900278,-1.51719,3.05897
0.900278,-1.51719,3.05897
0.900278,-1.51719,3.05897
0.151655,-1.12794,2.62291
0.151655,-1.12794,2.62291
0.151655,-1.12794,2.62291
0.151655,-1.12794,2.62291
0.151655,-1.12794,2.62291
0.151655,-1.12794,2.62291
-2.6649,-3.49449,3.82542
-4.83173,-0.666356,6.81743
-4.83173,-0.666356,6.81743
-4.83173,-0.666356,6.81743
-7.05248,-0.654944,7.5194
-4.49341,0.226561,7.39806
-4.49341,0.226561,7.39806
-4.49341,0.226561,7.39806
-5.27141,-0.459311,5.50319
-5.27141,-0.459311,5.50319
-5.35039,0.406204,7.06067
-5.35039,0.406204,7.06067
-7.48444,2.29553,7.14759
-8.20556,1.44571,4.32271
-7.97215,2.00121,3.18961
-8.07541,-0.390627,5.41963
-10.8957,0.286487,7.77361
-8.77331,0.772048,10.4635
-6.57792,1.06972,9.90433
-4.00292,3.19284,10.6934
-4.00292,3.19284,10.6934
-6.51314,3.54278,8.83061
-4.81839,2.66937,11.4464
-2.62933,0.00128255,8.69553
-1.9976,-1.73297,8.34276
-3.04729,-1.24216,7.69037
-2.59388,-1.86511,6.27476
-0.576384,-0.0510736,4.33954
0.985499,1.67756,3.79882
0.985499,1.67756,3.79882
0.985499,1.67756,3.79882
0.985499,1.67756,3.79882
-0.880405,-0.047622,4.97387
1.02301,-1.55657,3.57217
3.39969,-3.56553,4.86974
3.39969,-3.56553,4.86974
3.39969,-3.56553,4.86974
4.27954,-4.69748,3.99758
4.03942,-2.66756,3.54934
1.18789,-4.1397,5.57757
2.37384,-1.59342,3.69507
2.37384,-1.59342,3.69507
2.37384,-1.59342,3.69507
2.37384,-1.59342,3.69507
2.65223,-2.66296,1.2292
2.65223,-2.66296,1.2292
2.65223,-2.66296,1.2292
0.340155,-4.10872,2.15232
0.340155,-4.10872,2.15232
0.340155,-4.10872,2.15232
-1.89393,-3.18836,3.87679
-1.89393,-3.18836,3.87679
-1.89393,-3.18836,3.87679
0.152476,-4.10496,3.94619
0.152476,-4.10496,3.94619
0.152476,-4.10496,3.94619
1.05688,-4.07233,1.95911
-0.684918,-2.22365,4.90109
2.22165,0.0446769,3.14305
2.22165,0.0446769,3.14305
0.946937,-2.56319,2.13508
0.946937,-2.56319,2.13508
-1.98834,-0.342885,2.09506
-3.7109,0.399621,2.95162
-1.80211,-1.31527,2.92719
-1.52738,-1.3472,5.90966
-1.14359,0.368228,4.80299
0.745886,1.73842,1.93599
0.745886,1.73842,1.93599
0.745886,1.73842,1.93599
-0.77129,2.80949,3.98014
-0.443861,0.440086,5.18623
-0.443861,0.440086,5.18623
-0.443861,0.440086,5.18623
-0.443861,0.440086,5.18623
-0.443861,0.440086,5.18623
-1.30393,-2.20875,4.67393
-3.58861,-0.865127,3.00229
-2.66186,1.57244,3.46274
-2.66186,1.57244,3.46274
-2.66186,1.57244,3.46274
-2.66186,1.57244,3.46274
-0.146629,1.39078,6.27075
-1.37195,1.74043,3.37661
-1.37195,1.74043,3.37661
1.12649,2.26635,2.54735
1.98002,-0.313079,2.02459
1.98002,-0.313079,2.02459
1.98002,-0.313079,2.02459
1.98002,-0.313079,2.02459
1.98002,-0.313079,2.02459
1.98002,-0.313079,2.02459
1.98002,-0.313079,2.02459
1.98002,-0.313079,2.02459
0.188438,0.816266,1.75644
-1.26448,0.917414,4.0009
0.898194,1.68127,1.80748
3.62643,0.707396,2.36174
4.48826,-0.82082,3.97477
4.09228,-0.932433,4.12399
4.09228,-0.932433,4.12399
4.09228,-0.932433,4.12399
1.13134,0.233192,5.66103
2.86468,-0.84746,5.33594
2.86468,-0.84746,5.33594
1.87998,-0.425783,4.04328
1.87998,-0.425783,4.04328
0.00699778,2.44971,3.86855
-1.86987,1.04129,1.55201
-1.86987,1.04129,1.55201
-1.86987,1.04129,1.55201
-1.86987,1.04129,1.55201
-2.75859,-0.369154,1.27046
-2.75859,-0.369154,1.27046
-3.06441,-1.66187,4.17259
-3.06441,-1.66187,4.17259
-2.77012,-1.48578,2.12529
-2.77012,-1.48578,2.12529
-1.27064,-2.41355,5.00153
-1.27064,-2.41355,5.00153
-1.27064,-2.41355,5.00153
1.54781,-0.369238,4.75069
1.05056,0.307886,7.20209
1.05056,0.307886,7.20209
-0.149589,2.12602,5.1681
-0.149589,2.12602,5.1681
-0.149589,2.12602,5.1681
2.03845,0.83842,4.94409
3.07589,1.85674,6.57275
3.07589,1.85674,6.57275
2.08006,4.19029,6.59964
0.476526,3.46791,5.94766
-0.381655,0.874132,6.2801
-2.18879,-0.0918654,7.68039
-0.328266,-2.19254,9.31915
2.37244,-0.225167,8.95341
1.31247,2.37598,6.7853
-0.290215,2.27924,7.99775
2.67773,0.0201204,5.80025
2.67773,0.0201204,5.80025
4.893,-0.820926,3.11866
4.893,-0.820926,3.11866
1.97002,1.30192,4.07416
2.6372,2.06832,4.93517
2.6372,2.06832,4.93517
2.6372,2.06832,4.93517
0.294584,1.99298,6.34046
0.294584,1.99298,6.34046
0.294584,1.99298,6.34046
0.990184,-0.695332,5.24577
1.3061,0.441785,6.26415
1.3061,0.441785,6.26415
1.3061,0.441785,6.26415
2.04426,0.808839,5.40754
0.152082,1.34409,4.23106
0.152082,1.34409,4.23106
-1.94365,1.8455,3.50104
-1.86965,2.77387,4.69737
-0.51973,1.25486,2.46092
-0.128781,1.54164,1.08547
1.90761,-0.269798,-1.87908
2.76474,1.38241,-3.23989
2.76474,1.38241,-3.23989
2.76474,1.38241,-3.23989
-0.0147239,-1.42253,-5.47703
1.82548,-0.39657,-4.03439
-0.144769,0.348774,-2.21713
-0.144769,0.348774,-2.21713
-0.144769,0.348774,-2.21713
-0.144769,0.348774,-2.21713
-0.144769,0.348774,-2.21713
-0.144769,0.348774,-2.21713
-0.144769,0.348774,-2.21713
-1.47585,2.61846,-1.96597
-0.311991,4.34748,-3.52288
-0.311991,4.34748,-3.52288
-0.311991,4.34748,-3.52288
-0.311991,4.34748,-3.52288
-1.57376,4.40226,-4.74419
-1.57376,4.40226,-4.74419
0.0251572,4.93625,-3.73722
0.0251572,4.93625,-3.73722
0.0251572,4.93625,-3.73722
0.0251572,4.93625,-3.73722
2.59184,2.04336,-2.29182
2.59184,2.04336,-2.29182
1.22995,2.27143,-1.06861
-0.562215,0.718388,-3.57166
0.415421,1.92151,-2.67174
-0.547256,-0.216629,-0.746152
-0.547256,-0.216629,-0.746152
-0.547256,-0.216629,-0.746152
2.35212,0.655749,-2.6175
2.35212,0.655749,-2.6175
2.35212,0.655749,-2.6175
-0.578991,-0.202923,-3.7102
-0.578991,-0.202923,-3.7102
-0.678871,-3.11295,-5.42632
1.47607,-0.423616,-6.1512
2.6801,-1.06695,-5.20594
3.35539,1.32742,-2.33578
3.35539,1.32742,-2.33578
3.35539,1.32742,-2.33578
2.03762,0.631185,-3.29384
2.03762,0.631185,-3.29384
-0.813246,-1.67337,-1.76119
-0.813246,-1.67337,-1.76119
1.27517,0.305653,-1.13139
0.191276,-0.309958,0.199014
0.191276,-0.309958,0.199014
-1.68487,1.24379,-1.3797
-1.68487,1.24379,-1.3797
-1.68487,1.24379,-1.3797
-1.68487,1.24379,-1.3797
-1.68487,1.24379,-1.3797
-0.912358,3.28661,1.49805
-0.912358,3.28661,1.49805
0.498372,3.96299,3.20835
0.498372,3.96299,3.20835
-0.0907302,1.63243,0.471378
-2.96866,1.59017,0.880261
-2.15465,0.614345,-1.79765
-2.15465,0.614345,-1.79765
-2.58199,0.597501,-2.17775
-2.58199,0.597501,-2.17775
-2.38958,0.648356,-4.83872
-0.670118,-1.80113,-2.57454
-0.670118,-1.80113,-2.57454
0.686897,0.443575,-2.68646
-0.661537,0.246231,-1.77015
-0.661537,0.246231,-1.77015
-0.661537,0.246231,-1.77015
-0.661537,0.246231,-1.77015
-0.0842035,0.18437,-4.40945
-0.0842035,0.18437,-4.40945
-0.0842035,0.18437,-4.40945
-0.0842035,0.18437,-4.40945
1.437,-0.899779,-5.43285
1.437,-0.899779,-5.43285
-0.269947,-0.111368,-4.3453
-0.269947,-0.111368,-4.3453
-1.63116,-0.803643,-6.51497
-0.901023,-0.4291,-3.9702
-1.12845,2.17679,-2.17606
-0.264035,1.37768,0.687249
-0.223478,1.81903,-1.89576
0.615217,0.642915,-1.7475
-2.24642,-0.168835,-3.54183
-1.83647,-2.09131,-2.75134
-1.83647,-2.09131,-2.75134
-1.83647,-2.09131,-2.75134
-1.83647,-2.09131,-2.75134
-1.83647,-2.09131,-2.75134
-1.83647,-2.09131,-2.75134
-1.59276,-0.608719,-2.07335
-1.59276,-0.608719,-2.07335
0.0169654,-0.397933,-2.50205
0.0169654,-0.397933,-2.50205
0.0169654,-0.397933,-2.50205
0.0169654,-0.397933,-2.50205
-2.24352,-0.464957,-1.91032
-2.24352,-0.464957,-1.91032
-2.65941,-1.33891,-3.14808
0.288695,-3.31483,-1.67308
0.288695,-3.31483,-1.67308
0.288695,-3.31483,-1.67308
-0.181341,-2.66261,-0.901336
-0.568868,-0.0960315,-2.61048
-0.568868,-0.0960315,-2.61048
-0.112371,-0.062192,-0.858091
-0.112371,-0.062192,-0.858091
-0.112371,-0.062192,-0.858091
-2.77123,0.866721,0.706081
-0.381707,-1.63185,-0.343406
1.69505,-4.03991,1.70517
1.69505,-4.03991,1.70517
4.53407,-2.08292,1.19441
2.19811,-4.07868,-1.02396
0.901446,-1.39953,1.34414
0.901446,-1.39953,1.34414
2.1281,0.58935,1.75126
2.1281,0.58935,1.75126
0.143754,1.19925,3.38499
0.143754,1.19925,3.38499
-2.06258,-0.6389,4.65464
-1.443,-1.21611,4.52285
0.682567,0.465931,5.14545
1.85959,-0.645017,4.62743
1.85959,-0.645017,4.62743
-0.781367,1.89535,5.3336
0.554762,2.09193,4.56662
0.236525,-0.52725,6.82138
2.65279,0.881113,6.24576
1.64538,3.07625,6.43108
1.25303,4.85354,7.1758
-0.68347,1.87764,6.41284
-0.0388945,-0.43997,4.63504
-1.88878,-2.1384,4.93484
-1.88878,-2.1384,4.93484
0.156033,-2.07174,4.10662
0.156033,-2.07174,4.10662
0.156033,-2.07174,4.10662
0.156033,-2.07174,4.10662
0.156033,-2.07174,4.10662
1.40448,-2.6114,5.01029
1.40448,-2.6114,5.01029
1.40448,-2.6114,5.01029
1.40448,-2.6114,5.01029
-0.196962,-3.20614,2.16222
-0.196962,-3.20614,2.16222
-2.89718,-1.37753,3.46893
-2.89718,-1.37753,3.46893
-2.89718,-1.37753,3.46893
-0.940236,-3.67917,4.49185
-0.940236,-3.67917,4.49185
-0.940236,-3.67917,4.49185
-0.940236,-3.67917,4.49185
-0.733735,-1.10964,5.4192
0.534562,-1.83388,4.32491
3.37586,0.316076,1.91654
3.37586,0.316076,1.91654
2.67913,0.0494654,1.9543
0.764514,-1.6453,4.00425
0.764514,-1.6453,4.00425
-1.57097,-2.23347,2.75077
-1.57097,-2.23347,2.75077
-1.57097,-2.23347,2.75077
-1.57097,-2.23347,2.75077
1.11249,-0.776786,1.70045
1.11249,-0.776786,1.70045
1.11249,-0.776786,1.70045
1.11249,-0.776786,1.70045
1.11249,-0.776786,1.70045
-0.568924,-3.53167,3.55745
0.530244,-6.36898,4.1077
0.522633,-3.84346,3.69975
0.522633,-3.84346,3.69975
0.522633,-3.84346,3.69975
1.86103,-0.968657,5.18336
1.03212,0.994798,5.3636
-0.646499,2.59628,4.39982
-0.646499,2.59628,4.39982
1.7832,0.0195977,5.5754
-0.0665877,1.70578,5.40235
-1.4415,2.24253,3.46155
-1.4415,2.24253,3.46155
-1.4415,2.24253,3.46155
-2.01748,1.83955,4.93185
-2.01748,1.83955,4.93185
-4.54463,0.855524,5.15462
-2.69356,1.41796,2.22943
-2.69356,1.41796,2.22943
-3.81374,0.129784,2.49325
-4.10909,2.20553,2.8526
-3.10133,-0.599962,3.91195
-3.10133,-0.599962,3.91195
-0.118904,-0.379744,3.94807
-0.18315,2.04501,2.03156
-0.18315,2.04501,2.03156
-0.18315,2.04501,2.03156
2.57987,2.85133,-0.707371
4.29866,1.12869,-2.0379
4.44591,3.29204,-3.67746
4.44591,3.29204,-3.67746
5.62256,3.0368,-2.97131
5.62256,3.0368,-2.97131
5.62256,3.0368,-2.97131
2.97291,5.63657,-5.01584
2.4633,3.3887,-3.65759
-0.385963,0.537272,-2.04584
