nBlocks,directCall,discreteCall,directCallErr,discreteCallErr,directPut,discretePut,directPutErr,discretePutErr
134,14.7223,14.9705,0.173925,0.186376,5.42386,5.45164,0.076369,0.0799664
135,14.7288,14.9681,0.172765,0.185016,5.42448,5.4462,0.0758079,0.0795625
136,14.7469,14.9622,0.172448,0.183754,5.42223,5.4443,0.0752863,0.0790025
137,14.7612,14.9593,0.17179,0.182441,5.41087,5.44734,0.075596,0.078487
138,14.7889,14.9966,0.172785,0.184923,5.40972,5.44164,0.0750591,0.078129
139,14.78,15.0062,0.171778,0.183849,5.40772,5.44239,0.0745477,0.0775726
140,14.7881,15.0169,0.170747,0.182852,5.40413,5.43508,0.0741045,0.0773672
141,14.7909,15.0101,0.169564,0.181686,5.40797,5.44035,0.0736813,0.0770007
142,14.7787,15.0072,0.168815,0.180434,5.41089,5.43942,0.0732225,0.0764659
143,14.7752,15.0091,0.167675,0.179186,5.41443,5.43517,0.0727982,0.0760522
144,14.762,15.0031,0.167034,0.178047,5.4193,5.43422,0.072458,0.0755318
145,14.751,15.0009,0.16625,0.176837,5.42714,5.43886,0.0723865,0.0751558
146,14.763,15.0011,0.165547,0.175629,5.43759,5.44009,0.0726474,0.074653
147,14.7554,15.0101,0.164598,0.17467,5.42912,5.43833,0.0726505,0.0741679
148,14.7495,15.0171,0.163597,0.173636,5.43428,5.42992,0.0723454,0.0741468
149,14.754,15.0044,0.162566,0.172939,5.43134,5.43112,0.0719214,0.0736606
150,14.7753,15.0235,0.162879,0.17284,5.43118,5.43041,0.0714437,0.0731746
151,14.7634,15.0292,0.162241,0.171793,5.4423,5.4306,0.071838,0.0726918
152,14.7667,15.0363,0.161212,0.170817,5.45009,5.42844,0.071791,0.0722475
153,14.7829,15.0493,0.160977,0.170204,5.44526,5.42958,0.0714869,0.0717858
154,14.7782,15.0368,0.160004,0.169567,5.44736,5.43334,0.0710554,0.0714203
155,14.7848,15.0432,0.159112,0.168598,5.44051,5.43589,0.0709304,0.0710069
156,14.7971,15.0534,0.158572,0.167833,5.4371,5.43124,0.0705598,0.0707065
157,14.8063,15.089,0.157832,0.170519,5.43761,5.42607,0.0701136,0.0704473
158,14.8128,15.077,0.156971,0.169864,5.43312,5.43133,0.0698153,0.0702001
159,14.8065,15.0813,0.156113,0.168853,5.43456,5.43219,0.0693924,0.0697653
160,14.815,15.0784,0.155374,0.167826,5.43125,5.434,0.0690394,0.0693543
161,14.8154,15.1145,0.154412,0.170663,5.42645,5.41864,0.0687796,0.070616
162,14.8153,15.1489,0.153462,0.173062,5.42561,5.4089,0.0683615,0.0708544
163,14.8076,15.1569,0.152716,0.172188,5.42993,5.40384,0.0680804,0.0706025
164,14.8113,15.1807,0.151832,0.172785,5.44335,5.40036,0.0689847,0.0702596
165,14.8083,15.1894,0.150946,0.171964,5.44348,5.40024,0.068568,0.0698352
166,14.8121,15.1916,0.150089,0.170946,5.43905,5.40444,0.0683002,0.0695427
