avgs,avgs2,avgErrs,msds,msds2,msdErr
0.50356,0.254476,0.00346965,0.0843506,0.0071657,0.000821964
0.503015,0.253938,0.0034674,0.0841446,0.00713355,0.000836971
0.50354,0.254476,0.00346261,0.0840398,0.00711609,0.000832796
0.503935,0.254874,0.00344122,0.0841207,0.00712953,0.000826162
0.504052,0.254982,0.00339997,0.084177,0.0071386,0.000817712
0.504752,0.255716,0.00342994,0.0841929,0.00714063,0.000807709
0.505084,0.256049,0.00340408,0.0841294,0.00712964,0.00080032
0.504825,0.255781,0.00337282,0.0841484,0.00713223,0.000790845
0.504764,0.255709,0.00333299,0.0841147,0.00712605,0.000782098
0.504186,0.255143,0.00334381,0.0839629,0.00710188,0.000787609
0.504168,0.255113,0.00330475,0.083994,0.00710657,0.000779017
0.504057,0.254992,0.00326843,0.0838782,0.00708769,0.000778673
0.503582,0.254523,0.00326578,0.0837091,0.00706125,0.000788127
0.503382,0.254315,0.00323504,0.0834739,0.0070262,0.000813925
0.503583,0.254511,0.00320521,0.0834475,0.00702121,0.000805263
0.502754,0.253728,0.00327647,0.0833944,0.00701196,0.000798134
0.502306,0.253285,0.00327154,0.0833649,0.0070065,0.000789963
0.502027,0.253002,0.00324817,0.0833519,0.00700372,0.000781532
0.502016,0.25298,0.00321345,0.0833589,0.0070043,0.000773205
0.501609,0.252577,0.0032054,0.0833117,0.00699607,0.000766472
0.501519,0.252478,0.00317311,0.0831659,0.00697323,0.000772348
0.501633,0.252584,0.00314229,0.0830796,0.00695901,0.000769201
0.501401,0.252346,0.00311871,0.0830292,0.00695031,0.000762978
0.501149,0.252091,0.00309729,0.0830135,0.00694716,0.000755395
0.501214,0.252147,0.00306686,0.0832638,0.00699443,0.000788592
