mu,sigma,integral,error
0.6162,0.602287,-0.328926,0.00326327
0.615548,0.606375,-0.32973,0.00341255
0.609514,0.587006,-0.317854,0.00404113
0.612758,0.576244,-0.324685,0.00309657
0.627087,0.601202,-0.334218,0.00280322
0.608527,0.615365,-0.334094,0.00343217
0.585475,0.605644,-0.287536,0.00364165
0.601177,0.581239,-0.310002,0.00327661
0.585831,0.570449,-0.269205,0.00366472
0.578762,0.571428,-0.253996,0.00396636
0.590981,0.57928,-0.283437,0.0037145
0.60595,0.576723,-0.295457,0.00343833
0.603903,0.591099,-0.303536,0.00349989
0.617047,0.578531,-0.295337,0.00310268
0.62269,0.599034,-0.328164,0.00306173
0.647342,0.590502,-0.351299,0.00304166
0.645289,0.59478,-0.352388,0.00329498
0.624429,0.582324,-0.325182,0.00339282
0.643725,0.589581,-0.362718,0.00307118
0.625485,0.573842,-0.327544,0.00350002
0.608687,0.549399,-0.277275,0.00368718
0.629576,0.544633,-0.29732,0.0039221
0.615644,0.543442,-0.284909,0.00361108
0.624521,0.534661,-0.311606,0.00360826
0.647338,0.530378,-0.305411,0.00313563
0.635174,0.54896,-0.322481,0.003071
0.653073,0.565181,-0.345625,0.0029965
0.64909,0.57912,-0.337734,0.00259815
0.653032,0.570011,-0.344516,0.00281074
0.672662,0.558794,-0.350861,0.00270972
0.68102,0.57333,-0.381829,0.00263823
0.692279,0.564244,-0.374862,0.00261265
0.686854,0.583075,-0.390702,0.00283412
0.669586,0.566743,-0.373628,0.0029086
0.665418,0.57687,-0.363303,0.00287936
0.686065,0.594966,-0.38885,0.00234593
0.686063,0.570405,-0.385395,0.00298506
0.700376,0.586656,-0.402633,0.00210514
0.721745,0.604213,-0.404411,0.00147577
0.713714,0.61463,-0.414336,0.00180408
0.702131,0.623045,-0.409067,0.00213367
0.678669,0.607551,-0.388288,0.00233864
0.669733,0.620768,-0.381081,0.00239622
0.6649,0.624855,-0.394856,0.00254582
0.6649,0.624855,-0.394856,0.00254582
0.679976,0.630926,-0.386629,0.00241672
0.658296,0.642688,-0.374779,0.00238699
0.671341,0.625189,-0.387781,0.00266681
0.69329,0.638162,-0.394609,0.00221213
0.685682,0.641038,-0.400501,0.00238807
0.664888,0.619237,-0.377808,0.00265154
0.656134,0.618483,-0.380533,0.00280521
0.675558,0.596166,-0.364662,0.00245533
0.6572,0.595538,-0.367599,0.00277701
0.660068,0.57239,-0.359005,0.00271317
0.655772,0.59428,-0.359112,0.00310242
0.679642,0.600228,-0.387243,0.00238683
0.663168,0.583235,-0.360569,0.00307474
0.651275,0.593049,-0.379178,0.00269204
0.652509,0.598212,-0.371193,0.00285253
0.646382,0.601489,-0.356733,0.00314378
0.646382,0.601489,-0.356733,0.00314378
0.668689,0.58736,-0.366029,0.00284403
0.675311,0.583116,-0.388865,0.00265499
0.698952,0.561907,-0.387869,0.00233265
0.695557,0.583154,-0.392404,0.00194873
0.691759,0.591556,-0.392292,0.00229889
0.684247,0.611647,-0.388025,0.00233917
0.683961,0.6029,-0.397938,0.00262887
0.684047,0.578456,-0.372646,0.00267601
0.673889,0.560549,-0.371389,0.0027103
0.672961,0.567574,-0.355404,0.00242706
0.680096,0.591524,-0.38941,0.00236185
0.658486,0.588324,-0.372368,0.00296161
0.658486,0.588324,-0.372368,0.00296161
0.658486,0.588324,-0.372368,0.00296161
0.645133,0.59368,-0.34837,0.00324671
0.63027,0.584507,-0.332093,0.00294382
0.645361,0.5752,-0.324903,0.0027487
0.665392,0.593724,-0.365572,0.00249107
0.685672,0.603426,-0.394596,0.00226051
0.665783,0.593555,-0.37168,0.00267907
0.656656,0.603649,-0.367529,0.00241737
0.669724,0.606706,-0.370842,0.00267695
0.69237,0.617269,-0.414703,0.00256478
0.69237,0.617269,-0.414703,0.00256478
0.683361,0.635337,-0.384566,0.00227274
0.678609,0.644948,-0.390302,0.00238319
0.665197,0.628163,-0.376837,0.00274327
0.674585,0.648422,-0.398392,0.00253167
0.674585,0.648422,-0.398392,0.00253167
0.672872,0.67197,-0.379602,0.00278332
0.692916,0.661815,-0.393042,0.0025147
0.670048,0.658106,-0.371576,0.0026517
0.666252,0.642856,-0.378242,0.00244437
0.687055,0.660212,-0.39379,0.00237337
0.672257,0.673539,-0.369645,0.00264329
0.687805,0.662311,-0.385687,0.00237245
0.69653,0.669291,-0.38469,0.00344042
0.678927,0.688567,-0.382641,0.00285569
0.65764,0.66629,-0.374909,0.00274655
0.64154,0.647155,-0.343863,0.00291832
0.656451,0.643699,-0.364745,0.00249707
0.678226,0.66536,-0.373178,0.00259652
0.692005,0.665622,-0.385159,0.00261377
0.712856,0.662329,-0.397532,0.00272655
0.729717,0.673889,-0.400664,0.00208062
0.751334,0.695283,-0.392602,0.00261761
0.77206,0.718714,-0.395108,0.00455526
0.749334,0.716311,-0.404745,0.00366015
0.749334,0.716311,-0.404745,0.00366015
0.73575,0.704228,-0.401219,0.00293075
0.72073,0.69007,-0.402987,0.00273967
0.698155,0.690927,-0.380041,0.00327131
