mu,sigma,integral,error
0.782349,0.870916,-0.192035,0.0149414
0.802549,0.854293,-0.215977,0.0118119
0.787623,0.863056,-0.206573,0.0129231
0.767545,0.873893,-0.213156,0.0108107
0.766897,0.872725,-0.2499,0.0107399
0.767461,0.868688,-0.17481,0.016598
0.763881,0.849826,-0.27102,0.00834175
0.786118,0.826523,-0.302479,0.00965303
0.786118,0.826523,-0.302479,0.00965303
0.787832,0.816428,-0.286249,0.01103
0.804607,0.811103,-0.294385,0.00896832
0.791797,0.790337,-0.276463,0.0119361
0.772282,0.795996,-0.357195,0.00517325
0.764951,0.773642,-0.344326,0.00566133
0.785186,0.776542,-0.339763,0.00599107
0.805368,0.76658,-0.349056,0.00623563
0.791885,0.769204,-0.320796,0.00795852
0.774466,0.78181,-0.332303,0.00749584
0.755299,0.797081,-0.305764,0.00610932
0.778503,0.803823,-0.286165,0.00707497
0.769803,0.779607,-0.312025,0.00721444
0.753996,0.775883,-0.327797,0.00811038
0.776176,0.768341,-0.350911,0.00572316
0.776176,0.768341,-0.350911,0.00572316
0.789202,0.778153,-0.324333,0.00530958
0.774011,0.785984,-0.331766,0.00931653
0.78279,0.792018,-0.304202,0.00791543
0.764586,0.775875,-0.351317,0.00553863
0.768385,0.773164,-0.331094,0.0062741
0.790298,0.776988,-0.321598,0.00768419
0.779208,0.795033,-0.320239,0.00787479
0.765252,0.810159,-0.273902,0.0084453
0.785529,0.803581,-0.316252,0.0073035
0.795928,0.789783,-0.253234,0.0130027
0.772485,0.794345,-0.339015,0.00748864
0.757003,0.770973,-0.333158,0.0065174
0.750723,0.783411,-0.303739,0.00810965
0.744736,0.793254,-0.318256,0.0066104
0.722451,0.8083,-0.322906,0.00675628
0.7351,0.810612,-0.294121,0.00854673
0.726357,0.798222,-0.33643,0.00543351
0.728573,0.776499,-0.33906,0.0064288
0.705849,0.793665,-0.334709,0.00574995
0.70267,0.788299,-0.315765,0.00675244
0.693545,0.807436,-0.334882,0.00463738
0.681187,0.809121,-0.291584,0.00787593
0.676249,0.806904,-0.315037,0.00507682
0.69125,0.831735,-0.328294,0.00519222
0.68044,0.822751,-0.299784,0.00875348
0.701847,0.816341,-0.315965,0.00624198
0.694879,0.823246,-0.30505,0.00606081
0.678506,0.846612,-0.243541,0.0083694
0.660033,0.865943,-0.333206,0.00509665
0.661906,0.868288,-0.262457,0.00819865
0.667481,0.874538,-0.289714,0.00630804
0.671697,0.889168,-0.287659,0.00645946
0.651597,0.904174,-0.260185,0.006145
0.626919,0.890425,-0.266784,0.00830696
0.644603,0.880488,-0.293406,0.00638089
0.667634,0.892383,-0.173917,0.0136368
0.663633,0.881536,-0.277354,0.00717163
0.671826,0.865885,-0.266254,0.00890772
0.685569,0.853221,-0.234392,0.015876
0.674551,0.870652,-0.213972,0.013043
0.691225,0.850038,-0.253624,0.011348
0.685172,0.831242,-0.309903,0.00569237
0.691411,0.825819,-0.337588,0.00683329
0.703326,0.813284,-0.33293,0.00704777
0.693988,0.794991,-0.33935,0.00541406
0.716652,0.792412,-0.330234,0.00506325
0.724463,0.814341,-0.355721,0.00494078
0.724463,0.814341,-0.355721,0.00494078
0.726939,0.795309,-0.325271,0.00638646
0.73468,0.773348,-0.326787,0.00574297
0.756735,0.789387,-0.287323,0.00922169
0.734472,0.785719,-0.321307,0.00596899
0.740964,0.785678,-0.330318,0.00710684
0.757431,0.764621,-0.378475,0.00382338
0.781768,0.751309,-0.35715,0.0060922
0.781324,0.744265,-0.394054,0.00438941
0.759518,0.73908,-0.356591,0.00571886
0.734606,0.722982,-0.406757,0.00335296
0.755217,0.727662,-0.401624,0.00281055
0.762218,0.722282,-0.386812,0.00357542
0.768361,0.716859,-0.394901,0.00370076
0.763151,0.716154,-0.394598,0.0032609
0.745986,0.698512,-0.380369,0.00403619
0.758624,0.687093,-0.422453,0.00288147
0.775006,0.680173,-0.427228,0.00332862
0.768719,0.663801,-0.421046,0.00223497
0.7666,0.643894,-0.421113,0.00463536
0.779315,0.628279,-0.448333,0.00133823
0.787535,0.62768,-0.443576,0.00126279
0.805384,0.626834,-0.445016,0.00161305
0.805384,0.626834,-0.445016,0.00161305
0.811577,0.638368,-0.443221,0.00248299
0.789198,0.620472,-0.445323,0.00149223
0.796154,0.604066,-0.443512,0.00138858
0.788807,0.603526,-0.443668,0.00160887
0.779371,0.611892,-0.442793,0.00138468
0.780379,0.627698,-0.442526,0.0018585
0.80268,0.630375,-0.448901,0.00154337
0.801946,0.654916,-0.422414,0.00407154
0.782785,0.638104,-0.432491,0.00224631
0.793865,0.652857,-0.438728,0.00171816
0.777059,0.668985,-0.424887,0.00313409
0.792233,0.668691,-0.434104,0.00229174
0.798865,0.650653,-0.431726,0.00375589
0.777207,0.647004,-0.436956,0.00241744
0.753636,0.636254,-0.434092,0.00174033
0.766157,0.613078,-0.43752,0.00162155
0.776898,0.605555,-0.430127,0.00204981
0.779209,0.587543,-0.438803,0.00159967
0.78372,0.60098,-0.440195,0.00136077
0.763246,0.595192,-0.435956,0.00163957
0.781419,0.598258,-0.437981,0.00160802
0.779059,0.606182,-0.443716,0.00150387
0.797229,0.583229,-0.438117,0.00166457
0.797338,0.560542,-0.412295,0.00212952
0.789698,0.574108,-0.434416,0.00167183
0.789698,0.574108,-0.434416,0.00167183
0.789046,0.578197,-0.438443,0.00170689
0.789046,0.578197,-0.438443,0.00170689
0.789046,0.578197,-0.438443,0.00170689
0.803375,0.603154,-0.450054,0.00129696
0.784816,0.617318,-0.446602,0.00152465
0.761763,0.607597,-0.44394,0.00156671
0.761763,0.607597,-0.44394,0.00156671
0.746417,0.596806,-0.433222,0.0017896
0.739349,0.597786,-0.419918,0.00196902
0.751568,0.605637,-0.427152,0.00150153
0.766536,0.603081,-0.439887,0.00154749
0.764489,0.617457,-0.436536,0.00137362
0.777633,0.604888,-0.441239,0.00127135
0.783276,0.625391,-0.444117,0.0015383
0.807928,0.61686,-0.43987,0.00204528
0.805876,0.621138,-0.45661,0.0011537
0.785016,0.608682,-0.447735,0.00125706
0.804312,0.615939,-0.448574,0.00138405
0.786071,0.6002,-0.439772,0.00214302
0.769274,0.575756,-0.423717,0.00201727
0.790162,0.570991,-0.429395,0.00191834
0.776231,0.5698,-0.419481,0.00196743
0.785108,0.561019,-0.425984,0.00217229
0.807924,0.556736,-0.429848,0.00233345
0.795761,0.575318,-0.437936,0.00189624
0.813659,0.591538,-0.4334,0.00124789
0.809677,0.605478,-0.440387,0.00157684
0.813618,0.596369,-0.438048,0.00170385
0.833248,0.585151,-0.429486,0.00205255
