x,y,z
-0.439804,0.0189404,-0.643069
-0.724609,-0.0633286,-0.227533
-0.334831,0.366901,-0.031054
-0.0903945,0.253922,-0.280875
0.0603876,0.193598,0.123898
0.0603876,0.193598,0.123898
0.174554,0.0444114,0.0823982
0.226391,0.0959105,0.514314
0.666553,0.0296371,0.126272
0.631129,0.493577,-0.321472
0.653424,0.60189,-0.106561
0.834941,0.136208,-0.556203
0.372499,0.191098,-0.173305
0.145505,0.683281,0.271789
0.385063,1.14508,0.268138
0.385063,1.14508,0.268138
0.770169,0.966137,0.674903
0.770169,0.966137,0.674903
1.14819,1.05753,0.987056
1.54527,1.19538,1.27674
1.2651,1.08892,0.937188
1.2651,1.08892,0.937188
0.940499,1.27502,0.585783
1.07051,0.812679,0.828871
1.26283,0.40341,0.735341
1.23693,0.531577,0.655196
1.23693,0.531577,0.655196
0.782372,0.896909,0.739516
0.303309,0.644516,1.08414
0.726759,0.512822,0.894395
0.726759,0.512822,0.894395
0.414924,0.67327,1.2833
0.448011,0.336508,1.48964
0.626042,0.47811,1.39623
0.963693,0.586572,1.47667
1.21735,0.236668,1.65115
1.66252,0.615156,1.232
1.17422,0.309652,1.58879
0.689873,0.381056,2.03456
1.05744,0.318109,1.793
1.05744,0.318109,1.793
0.770385,0.26841,1.45424
0.306056,-0.161261,1.01317
0.259493,-0.516113,0.850967
0.701686,-0.0206663,0.757546
0.345855,0.0626618,1.18264
0.409199,0.292642,1.16055
0.0744489,-0.0684033,1.36549
0.0744489,-0.0684033,1.36549
0.491116,0.0950453,1.38165
0.491116,0.0950453,1.38165
0.35249,0.530055,1.39538
0.797513,0.39694,1.33642
1.20518,0.135213,1.12903
1.41479,0.475856,1.05194
1.01123,0.397613,1.06163
1.01123,0.397613,1.06163
1.01123,0.397613,1.06163
0.892871,0.349472,1.21394
1.00057,-0.145143,0.852644
0.681866,-0.0807217,1.26364
0.681866,-0.0807217,1.26364
0.377216,-0.411267,1.12996
0.149737,-0.112504,1.57772
0.160702,0.372195,1.19679
0.209388,0.643359,1.0058
0.209388,0.643359,1.0058
0.222822,1.114,0.698249
-0.0190978,0.953782,0.210521
-0.223903,0.536449,0.577566
-0.0113123,0.524948,0.700488
0.116115,0.897303,0.265148
-0.2468,1.10671,0.178343
-0.515035,0.675282,0.452927
-0.515035,0.675282,0.452927
-0.999052,0.234393,0.40797
-1.47896,0.368884,0.015395
-1.58089,0.0100861,0.202791
-1.09353,-0.152377,0.502287
-0.801098,0.17082,0.666223
-0.756049,-0.317843,0.464024
-0.424899,-0.454759,0.541988
-0.515467,-0.616474,0.822233
-0.515467,-0.616474,0.822233
-0.515467,-0.616474,0.822233
-0.539453,-0.367656,0.749233
-0.153525,-0.199177,1.19281
-0.534117,-0.541942,1.19857
-0.92985,-0.796171,1.18153
-0.452312,-0.486849,1.64275
-0.0861384,-0.460127,1.84731
-0.35039,-0.154982,1.59575
-0.120194,0.330129,1.19575
-0.0400916,0.535661,0.797167
0.00441558,0.908324,0.575306
0.00441558,0.908324,0.575306
-0.231966,0.971455,0.946919
0.129634,1.35026,0.731931
0.129634,1.35026,0.731931
0.447861,1.81638,0.340652
0.0558476,2.13624,0.377879
0.0841934,2.16145,0.204791
0.106586,1.85241,0.226997
0.106586,1.85241,0.226997
0.0982858,2.11092,0.534866
0.0982858,2.11092,0.534866
0.154109,2.06848,0.119418
0.272413,2.10083,-0.0529337
-0.0667003,1.78161,0.241738
-0.0667003,1.78161,0.241738
-0.0667003,1.78161,0.241738
-0.522022,1.58488,0.254603
-0.531516,1.33893,-0.0840519
-0.146824,1.72994,0.393261
0.056688,1.50605,0.471747
0.056688,1.50605,0.471747
0.422047,1.2585,0.261458
0.91062,0.942955,-0.0187779
0.91062,0.942955,-0.0187779
0.487496,0.761112,0.30139
0.670049,0.475193,0.0487571
0.738584,0.163109,0.103285
0.753667,-0.222332,0.252825
0.806613,0.00160975,-0.0451087
0.806613,0.00160975,-0.0451087
1.05931,-0.390611,0.421542
0.742508,-0.577826,0.403258
0.28657,-0.760334,0.137888
0.758008,-0.467179,0.221029
0.356851,-0.269974,0.424235
0.486493,0.212545,0.841187
0.197418,0.372856,0.795046
0.250178,0.264231,1.0403
-0.216953,0.464349,0.888402
-0.551757,0.241872,0.897648
-0.629169,0.625517,0.635666
-0.353333,0.642321,0.615519
-0.353333,0.642321,0.615519
-0.0773031,0.901697,0.367785
-0.0773031,0.901697,0.367785
-0.0773031,0.901697,0.367785
0.188722,0.848703,0.468482
0.298357,0.802499,0.687933
0.526804,0.674584,0.752715
0.526804,0.674584,0.752715
0.98967,0.586174,0.680944
1.41954,0.921012,0.878556
1.60199,0.680344,0.884361
1.60199,0.680344,0.884361
1.26083,0.643823,0.719398
0.903511,0.372947,0.572547
1.13153,0.593842,0.160647
0.930825,0.663265,0.235562
0.557204,0.174801,0.714573
1.05125,0.307111,0.684486
1.34169,0.137714,0.682926
1.12152,0.29286,0.754157
0.78756,-0.116446,1.11538
0.829345,-0.186476,1.41316
0.626615,-0.168387,1.83003
0.691797,-0.577386,1.72762
0.194414,-0.520585,2.17875
-0.302952,-1.0055,1.72978
-0.00762641,-0.584568,1.52667
-0.505416,-0.943859,1.31641
-0.638244,-1.4435,1.29171
-1.0619,-1.14917,1.38725
-0.632524,-1.32242,1.59087
-0.710228,-0.988765,1.15647
-0.218696,-1.24248,0.689978
0.129536,-1.16713,0.553855
-0.111385,-1.34464,0.177917
-0.396398,-1.27369,0.503065
-0.654573,-0.966723,0.709681
-0.282815,-0.639554,0.24709
0.107969,-0.871582,-0.0895274
0.552925,-0.833282,0.40988
0.552925,-0.833282,0.40988
0.585702,-0.527285,-0.0557296
0.486347,-0.316184,-0.014296
0.486347,-0.316184,-0.014296
0.486347,-0.316184,-0.014296
0.486347,-0.316184,-0.014296
0.0120867,0.0454463,0.289189
0.180814,-0.0638382,0.309896
0.180814,-0.0638382,0.309896
0.180814,-0.0638382,0.309896
0.280478,-0.322884,-0.0308524
0.138653,0.101169,0.462083
0.509158,0.112366,0.477971
0.384388,0.177242,0.405294
0.384388,0.177242,0.405294
0.422865,0.00924593,0.201461
0.31062,-0.16743,0.449217
-0.0474516,0.296632,0.590426
-0.0474516,0.296632,0.590426
-0.516878,-0.0977941,0.790844
-0.878016,0.373562,1.28951
-1.15912,0.0459775,1.04048
-1.21088,0.474817,1.01131
-1.581,0.476719,1.1283
-1.15449,0.623636,1.10808
-1.15449,0.623636,1.10808
-1.10096,0.229035,1.52745
-1.23063,0.114723,1.21163
-1.28175,-0.152535,0.841312
-1.29492,-0.00828291,1.10089
-1.16308,0.103926,1.59639
-1.51875,0.418814,1.61088
-1.63894,0.277176,1.14006
-1.60004,0.36976,0.951215
-1.61725,-0.0288797,1.32289
-2.08729,0.0839727,1.71521
-1.73356,0.1649,2.16353
-1.36766,0.214512,2.07033
-0.938498,0.568365,2.20185
-0.938498,0.568365,2.20185
-1.35687,0.626689,1.89138
-1.07441,0.481119,2.32735
-0.709567,0.0364386,1.86887
-0.604278,-0.252604,1.81007
-0.779227,-0.170802,1.70134
-0.703658,-0.274626,1.46541
-0.367409,0.0277126,1.14287
-0.107095,0.315819,1.05275
0.347129,0.151096,1.0087
0.347129,0.151096,1.0087
0.481115,0.607628,1.32864
0.170131,0.320097,1.52448
0.487367,0.068606,1.29086
0.88348,-0.266221,1.50712
1.2546,-0.302599,1.03979
1.43046,-0.607217,1.45358
1.5771,-0.795875,1.30822
1.53708,-0.457556,1.23352
1.06183,-0.702912,1.57156
1.25948,-0.278532,1.25781
1.48959,-0.0623463,0.945415
1.70973,-0.333056,1.18867
1.70973,-0.333056,1.18867
1.75613,-0.511313,0.777694
1.82778,-0.815378,0.510811
1.69758,-1.16884,0.399094
1.31224,-1.4098,0.552948
1.31224,-1.4098,0.552948
1.31224,-1.4098,0.552948
0.939892,-1.2564,0.84036
0.656045,-1.39054,1.06152
0.656045,-1.39054,1.06152
0.997112,-1.5433,1.07309
1.03548,-1.609,1.32603
1.05096,-1.81299,0.976104
1.2017,-1.80755,0.644923
0.911399,-1.49943,1.13525
1.39583,-1.12138,0.842247
0.902474,-1.6176,0.611137
0.690023,-2.05224,0.443141
0.289644,-2.2108,0.338176
-0.199569,-1.84075,0.331506
-0.486663,-1.717,0.474266
-0.486663,-1.717,0.474266
-0.440875,-1.72232,0.971345
-0.37691,-1.43641,0.7869
-0.0619972,-1.20805,0.309066
-0.0619972,-1.20805,0.309066
-0.304865,-1.15815,-0.144351
-0.557728,-0.979642,0.19634
-0.557728,-0.979642,0.19634
-0.557728,-0.979642,0.19634
-0.501976,-1.46863,0.593094
-0.501976,-1.46863,0.593094
-0.610762,-1.29814,0.791409
-0.754108,-1.73961,0.706025
-1.13489,-1.51568,0.427418
-0.980428,-1.10942,0.50416
-1.09376,-0.971222,0.681684
-1.11388,-0.568564,0.458991
-0.861325,-0.0717421,0.948599
-0.44212,-0.102018,1.4166
-0.646341,-0.0437436,0.934244
-0.752182,0.204202,0.50264
-0.335775,0.291856,0.36443
-0.193519,-0.138049,0.277304
-0.193519,-0.138049,0.277304
-0.193519,-0.138049,0.277304
-0.455476,0.288274,-0.0517858
-0.455476,0.288274,-0.0517858
-0.455476,0.288274,-0.0517858
-0.77807,-0.170319,-0.121188
-0.546395,-0.231934,-0.467971
-0.546395,-0.231934,-0.467971
-0.788548,-0.215076,-0.0938938
-0.428102,-0.0877668,-0.459464
0.026603,-0.250079,-0.367087
0.170242,-0.504782,-0.0982484
0.104245,-0.523384,-0.073379
0.104245,-0.523384,-0.073379
0.430692,-0.268317,-0.0322415
-0.0627967,-0.0740464,0.223931
0.226093,-0.254155,0.16975
-0.190981,0.21604,0.507452
-0.355097,0.28632,0.292009
-0.160897,-0.0546737,-0.163689
-0.160897,-0.0546737,-0.163689
-0.160897,-0.0546737,-0.163689
-0.160897,-0.0546737,-0.163689
-0.160897,-0.0546737,-0.163689
-0.160897,-0.0546737,-0.163689
-0.309017,-0.289747,-0.210615
-0.309017,-0.289747,-0.210615
-0.359988,-0.505199,0.273074
-0.359988,-0.505199,0.273074
-0.31094,-0.475851,-0.0681418
-0.31094,-0.475851,-0.0681418
-0.0610255,-0.630481,0.41123
-0.0610255,-0.630481,0.41123
-0.0610255,-0.630481,0.41123
0.408716,-0.289762,0.369424
0.325841,-0.176907,0.777992
-0.14945,-0.313248,1.14885
-0.349475,-0.0102262,0.809851
-0.349475,-0.0102262,0.809851
-0.144054,-0.490102,1.20829
0.220619,-0.704702,1.17095
0.393526,-0.534981,1.4424
0.393526,-0.534981,1.4424
0.227554,-0.146057,1.44688
-0.0397017,-0.266453,1.33821
-0.0397017,-0.266453,1.33821
-0.340891,-0.427452,1.5716
-0.0308036,-0.777566,1.84472
0.419315,-0.449669,1.78377
0.242653,-0.0161446,1.42241
-0.0244617,-0.032269,1.62449
0.470196,-0.408788,1.25824
0.470196,-0.408788,1.25824
0.839407,-0.548963,0.811308
0.839407,-0.548963,0.811308
0.352244,-0.195155,0.970558
0.46344,-0.0674213,1.11406
0.170266,0.0414547,1.5915
0.170266,0.0414547,1.5915
-0.220169,0.0288985,1.82571
-0.220169,0.0288985,1.82571
-0.358741,0.133663,2.29346
-0.242807,-0.31439,2.11101
-0.190155,-0.124871,2.28074
0.126992,-0.308116,2.44257
0.126992,-0.308116,2.44257
0.250018,-0.24694,2.2998
-0.0653441,-0.157731,2.10372
-0.0653441,-0.157731,2.10372
-0.414632,-0.0741629,1.98205
-0.402299,0.0805654,2.18144
-0.177313,-0.172604,1.8087
-0.112154,-0.124807,1.57946
0.227244,-0.426713,1.08537
0.370099,-0.151346,0.858564
0.370099,-0.151346,0.858564
0.748067,0.264587,0.908209
0.284823,-0.202902,0.535353
0.284823,-0.202902,0.535353
-0.0435519,-0.078678,0.838231
0.106162,0.182557,1.1271
0.331835,0.090779,0.637817
0.805792,0.0068151,0.274293
0.963563,0.477317,0.428161
0.963563,0.477317,0.428161
0.729111,0.852766,0.582447
0.507265,1.23105,0.624306
0.701241,1.51922,0.364821
0.701241,1.51922,0.364821
0.497986,1.85636,-0.099236
0.497986,1.85636,-0.099236
